ID,FIRST,SECOND,THIRD,FOURTH,FIFTH,SIXTH,SEVENTH,EIGHTH
0,0.611471121798010465,0.630605505055178664,0.058995581631216249,0.340051312496413376,0.130677621973785477,0.252900978763892183,0.660420020122294350,0.971030700389748608
1,0.263132559897821426,0.948867479899543416,0.077253155732391837,0.651096732799360399,0.450255983469796807,0.134083906732337280,0.315938661275436199,0.157191895235128993
2,0.298208031647664405,0.281024730007814567,0.668481192795513510,0.909164202598816984,0.916218260246529788,0.125047682005552903,0.674922436120099227,0.289990583385630794
3,0.038453422522057121,0.060582176642936984,0.739837146112787318,0.383919825660414884,0.062133562230736617,0.360129652638436279,0.362809796163325246,0.613033144534059209
4,0.350118132890392193,0.957155072946825145,0.489232001047047377,0.132751631024195471,0.049166630774757973,0.517183843078392115,0.148617729539994563,0.435454873366088256
5,0.196762287968517326,0.739787285255343662,0.972923618060494682,0.205391815716196118,0.237099095538382874,0.961456553150534881,0.811751777193241153,0.673547460787847602
6,0.325569767395073371,0.582749711801129817,0.111900732029952972,0.528128392242866631,0.987144862381878517,0.296290545080127736,0.330037105306433844,0.335852147275308480
7,0.439646251883941177,0.256925154498450943,0.374216868120365320,0.855361104277480310,0.580357799325980651,0.903364516082942336,0.516747811654741353,0.666477225263095244
8,0.358653900898209655,0.022359976779065453,0.456776471932649705,0.969121156395875923,0.148292337691411167,0.601323100099128795,0.870831176106947076,0.398926430225195584
9,0.357871133728909759,0.691753963708613085,0.578368175032889044,0.893937115731164260,0.121708733077698922,0.960552435761023573,0.148402658106946614,0.685792488718025486
10,0.801250785714138666,0.843622534726261294,0.077751704217374775,0.456287354179286160,0.408684271693347765,0.805084525605943732,0.497309727121720029,0.432420750099603009
11,0.678730490611104883,0.846190964079945831,0.783075387338824775,0.764756348409465950,0.211462323180610443,0.252164532785618224,0.673312172527075091,0.588353826024008232
12,0.062444827053010931,0.395323256681690758,0.205408655416677328,0.548366666460940411,0.487099454890148480,0.833938957890834442,0.914088730522389744,0.294987553299311973
13,0.745347063924211200,0.861627851887540028,0.960145595376846278,0.799321734028472448,0.855740918374345730,0.856162711273486296,0.903159219195469639,0.551855768576779295
14,0.275742240799383827,0.991117163593941493,0.017044073644247896,0.946608583596705427,0.884663329366822666,0.632682912421653686,0.460155502746531022,0.961401475090850176
15,0.550822454363178394,0.643988881457513601,0.983590398509055116,0.011717699355666483,0.316334110122101287,0.745549858550693723,0.730904534120122624,0.674041702565398859
16,0.731574866938802012,0.585325205087613227,0.449996896139474384,0.860805733386772077,0.035282208340719147,0.899909622574059008,0.161213021334753726,0.278160185779560681
17,0.275509290666418548,0.012751865215360001,0.695199628955663041,0.944084771572168928,0.837069048993759727,0.278997778319011300,0.468471551009314619,0.261170487410364620
18,0.453344604377765944,0.020904736838337439,0.815892967650866174,0.564324516941306408,0.738571531457245992,0.391327775486351987,0.576635914647927022,0.015783138582455766
19,0.522812338826613870,0.037235015024775733,0.282916344762024201,0.102968854496220264,0.559300219830896651,0.740264867114827526,0.158139804624215533,0.757664408487862969
20,0.606360768255689246,0.353394013063274941,0.885149389582452151,0.024727759885960240,0.655398308691160438,0.566542445416458496,0.543476506380649949,0.843326799607008759
21,0.635400656027126392,0.859289085817700866,0.304814003121100794,0.567938047856205952,0.096057669822632866,0.881613047114314240,0.752009148021827630,0.262006159438278637
22,0.117360405364426424,0.775160348824129383,0.918100940588626882,0.626992987523117568,0.301209434291391130,0.012280344553543412,0.197210648143101778,0.627086133835031585
23,0.113035775373124942,0.929721321092162937,0.836425875921487744,0.487249554364131008,0.911553387189206246,0.043129116275247417,0.284955917153668615,0.056081500267210881
24,0.946376705376734850,0.509964930027714134,0.852341994075447055,0.871037208910004806,0.992067612820903015,0.981176081439396760,0.741880152106440588,0.744506491816291341
25,0.158458652605304583,0.894100818582978219,0.699224696949412781,0.872244973602044160,0.947767367171090657,0.111568706463006525,0.803267221073401055,0.502350934791372573
26,0.891409295194514791,0.007557961034214936,0.593218713266724923,0.720539627862749952,0.988381361531885721,0.144278176359846114,0.560149436369717471,0.086032679816132619
27,0.137795985601159999,0.809812615958049423,0.843976441926934529,0.505577025085459692,0.404024456798941118,0.723150353444611989,0.774570580084978963,0.200671117745718200
28,0.334943752148160789,0.285679959186245072,0.666527928898540176,0.380990573212720802,0.197218739771156712,0.344033189081049681,0.514509791562302384,0.034793042032819424
